Product Id	Type	Description	Unit	Vendor	Location	Reference	Compatibility	Category	Comission Percent	Commission Flat	Stock	Reserved	Ordered	Minimum Stock	Last Price	Cost Markup	Cost	Retail Price	Retail Date	Wholesale Price	Whole Date	Cost Date	Init Stock	Stock Date	Last Invoice	Last Order	Total Sales	Init Date	Gross	Total Sold	Remarks 1	Remarks 2	Remarks 3	Remarks 4	Remarks 5	Remarks 6
ANTYRE	SOLDOUT	ANTYRE 11R22.5 TB735 16P		CHINESE			NEW TIRES		0.00	0.00	0	0	0	0	253.16	13.00	286.07	325.00	10/18/2011	305.00	10/18/2011	09/13/2011	0	11/11/2013	384481	7182	15920.00	01/01/0001	1743.04	56.00						
ANTYRE11	11R22.5	ANTYRE 11R22.5 TB726 16P		FULLRUN			NEW TIRES		0.00	0.00	4	-2	0	0	229.56	13.00	259.40	255.00	11/26/2014	235.00	11/26/2014	02/11/2015	4	02/09/2015	450150	11293	277706.22	01/01/0001	37383.92	984.00						
ANTYRE111	SOLDOUT	ANTYRE 11R22.5 TRAC TB735 16PR		FULLRUN			NEW TIRES		0.00	0.00	0	0	0	0	239.74	13.00	270.91	280.00	11/08/2013	260.00	11/08/2013	08/09/2013	0	04/07/2014	439304	10429	339472.20	01/01/0001	63224.95	1142.00						
ANTYRE112	SOLDOUT	ANTYRE 11R22.5 TB788 14PR TRAL		FULLRUN			NEW TIRES		0.00	0.00	0	0	0	0	211.82	13.00	239.36	260.00	11/08/2013	240.00	11/08/2013	08/09/2013	0	04/07/2014	429569	10429	7700.00	01/01/0001	1345.40	30.00						
ANTYRE22.5	SOLDOUT	ANTYRE 295/75T22.5 TB735 16P		FULLRUN			NEW TIRES		0.00	0.00	0	0	0	0	243.78	13.00	275.47	285.00	10/11/2013	265.00	10/11/2013	06/09/2014	0	06/20/2014	436939	9871	113866.00	01/01/0001	11781.11	399.00						
ANTYRE225	SOLDOUT	ANTYRE 295/75R22.5 TB788 14PR		FULLRUN			NEW TIRES		0.00	0.00	0	0	0	0	205.84	13.00	232.60	265.00	08/12/2013	245.00	08/12/2013	08/09/2013	0	11/12/2013	429436	10429	8940.00	01/01/0001	1735.60	35.00						
ANTYRE295	SOLDOUT	ANTYRE 295/75R22.5 TB726 16P		FULLRUN			NEW TIRES		0.00	0.00	0	0	0	0	235.92	13.00	266.59	280.00	10/11/2013	260.00	10/11/2013	03/05/2013	0	11/12/2013	430083	9871	74170.00	01/01/0001	11186.16	257.00						
ANTYRE315	315/80R22.5	ANTYRE 315/80R22.5 TB762 18PR		FULLRUN			NEW TIRES		0.00	0.00	0	0	0	0	257.37	13.00	290.82	315.00	03/26/2014	295.00	03/26/2014	01/08/2015	12	01/23/2015	458861	11293	96498.00	01/01/0001	17381.70	294.00						
ANTYRE726	SOLDOUT	ANTYRE 11R24.5 TB726 16P		FULLRUN			NEW TIRES		0.00	0.00	0	0	0	0	255.00	13.00	288.15	295.00	11/08/2013	275.00	11/08/2013	03/05/2013	0	01/21/2014	433458	9871	44505.00	01/01/0001	6318.14	150.00						
ANTYRE735	SOLDOUT	ROADMASTER 11R24.5 LUG 14PR		FULLRUN			NEW TIRES		0.00	0.00	0	0	0	0	260.61	13.00	294.49	315.00	04/01/2013	295.00	04/01/2013	01/08/2015	0	01/17/2015	431396	9871	131201.00	01/01/0001	20841.05	422.00						
ANTYRE762	12R22.5	ANTYRE 12R22.5 TB762 HWY 18PR		FULLRUN			NEW TIRES		0.00	0.00	23	0	0	0	273.69	13.00	309.26	325.00	02/13/2013	305.00	02/13/2013	04/10/2013	40	01/17/2015	458413	10010	91672.00	01/01/0001	9402.15	289.00						
ANTYRE877	12R22.5	ANTYRE 12R22.5 TB875 TRAC 18P		FULLRUN			NEW TIRES		0.00	0.00	14	0	0	0	275.84	13.00	311.69	330.00	02/13/2013	310.00	02/13/2013	03/06/2014	30	01/17/2015	458413	11293	126301.96	01/01/0001	12355.11	407.00						
ANYTYRE28	SOLDOUT	ANYTYRE 285/75R24.5 HWY726 16P		TGI			NEW TIRES		0.00	0.00	0	0	0	0	245.18	13.00	277.05	315.00	08/08/2013	295.00	04/05/2013	11/07/2014	0	01/17/2015	431856	10730	16400.00	01/01/0001	1650.46	52.00						
ANYTYRE285	SOLDOUT	ANTYRE 285/75R24.5 TB735 16P		CHINESE			NEW TIRES		0.00	0.00	0	0	0	0	270.01	13.00	305.11	320.00	10/14/2010	300.00	10/14/2010	05/03/2012	0	11/11/2013	392939	7769	16440.00	01/01/0001	2022.42	54.00						
AST01	750-16	GALAXY 750-16 LUG 14PLY					NEW TIRES		0.00	0.00	1	0	0	0	1.00	13.00	1.13	150.00	12/07/2009	130.00	12/07/2009		1	01/17/2015	452351	0	435.00	05/13/2007	432.00	3.00						
ASTR05	18-19.5	ASTRO 18-19.5					NEW TIRES		0.00	0.00	2	0	0	0	469.00	13.00	529.97	600.00		530.00		06/27/2013	2	12/17/2014	0	0	0.00	05/13/2007	0.00	0.00						
AURORA225	225/45R17	AURORA 225/45R17					NEW TIRES		0.00	0.00	1	0	0	0	0.00	13.00	0.00	69.00	04/13/2012	69.00	04/13/2012	05/08/2012	1	01/17/2015	0	0	0.00	01/01/0001	0.00	0.00						
BALANCE	BALANCES	BALANCE TIRES					MOUNTS		0.00	0.00	0	2	0	0	10.00	13.00	11.30	25.00	04/04/2011	25.00	04/04/2011	01/23/2008	0		458934	0	518369.16	05/13/2007	317497.16	22661.00						
BALANCE03	BALANCES	EQUAL BAG BALANCE					NEW TIRES		0.00	0.00	0	0	0	0	7.00	13.00	7.91	15.00		10.00		03/12/2008	0	03/12/2008	458723	0	9076.00	01/01/0001	3259.00	831.00						
BALANCE15	BALANCES	TIRE BALANCE UP TO 20inch					NEW TIRES		0.00	0.00	0	0	0	0	7.50	13.00	8.47	15.00		15.00		10/29/2009	0	10/29/2009	458575	0	11207.00	01/01/0001	5454.50	767.00						
BALANCE8	BALANCES	TIRE BALANCE UP TO 17inch					MOUNTS		0.00	0.00	0	4	0	0	4.00	13.00	4.52	10.00	02/29/2012	10.00	02/29/2012	01/23/2008	0	05/14/2007	458827	0	91651.40	05/30/2007	55635.40	9918.00						
BFG11-144	11R22.5	BFG 11R22.5 TR144 LRG		MICHEL			NEW TIRES		0.00	0.00	12	0	0	0	333.29	13.00	376.61	400.00	01/30/2014	380.00	01/21/2013	02/11/2015	12	02/09/2015	456688	11768	23608.00	01/01/0001	3452.50	66.00						
BFG144	11R24.5	BFG 11R24.5 TR144 LRG		MICHEL					0.00	0.00	0	0	0	0	311.47	13.00	351.96	445.00	10/17/2011	410.00	01/21/2013	01/08/2015	0	01/21/2015	375231	4661	8600.00	01/01/0001	1837.68	24.00						
BFG265	265/75R16	BFG 265/75R16 COMM T/A 10PR		ITCO			NEW TIRES		0.00	0.00	14	0	0	0	149.88	13.00	169.36	185.00	02/26/2013	175.00	02/26/2013	12/10/2014	18	01/17/2015	457817	12403	5200.00	01/01/0001	588.94	28.00						
BFG275	275/80R22.5	BFG 275/80R22.5 ST244 LRG		MICHEL		61456	NEW TIRES		0.00	0.00	26	-3	72	0	373.23	13.00	421.74	445.00	04/04/2014	425.00	04/04/2014	02/20/2015	0	02/13/2015	458883	12668	1413156.53	01/01/0001	184993.39	3354.00	TRAILER					
BFG48	215/70R16	BFG 215/70R16 LONG TRAIL		MICHEL			NEW TIRES		0.00	0.00	4	0	0	0	107.49	13.00	121.46	155.00	10/17/2011	145.00	10/17/2011	12/04/2012	4	01/17/2015	386320	5607	3725.09	01/01/0001	-512.43	40.00						
BFGOOD02	11R24.5	BFG 11R24.5 ST244 14P		MICHEL		51477	NEW TIRES		0.00	0.00	7	-1	12	0	401.39	13.00	453.57	475.00	04/04/2014	455.00	04/04/2014	01/08/2015	20	01/21/2015	458337	12500	470493.76	05/13/2007	59091.85	1141.00	STEER					
BFGOOD04	11R22.5	BFG 11R22.5 ST244 14P		MICHEL		40525	NEW TIRES		0.00	0.00	17	-2	78	0	381.23	13.00	430.78	450.00	04/04/2014	430.00	04/04/2014	02/11/2015	47	02/09/2015	458923	12500	2106381.38	05/13/2007	263876.01	5416.00	086699405258					
BFGOOD06	215/85R16	BFG 215/85R16 10P COMM T/A A/S		ITCO		086699422057	NEW TIRES		0.00	0.00	37	7	61	0	141.52	13.00	159.91	166.00	10/10/2013	156.00	10/10/2013	02/06/2015	26	01/29/2015	458319	12612	333781.12	05/13/2007	44409.08	2384.00						
BFGOOD07	225/70R19.5	BFG 225/70R19.5 ST230 LRG		MICHEL		86699742087	NEW TIRES		0.00	0.00	16	-4	26	0	256.44	13.00	289.77	285.00	01/30/2014	265.00	01/30/2014	02/20/2015	0	02/19/2015	455078	12668	738038.00	05/13/2007	82821.14	3290.00						
BFGOOD09	245/70R19.5	BFG 245/70R19.5 ST230 LRG		MICHEL		086699896889	NEW TIRES		0.00	0.00	10	-2	0	0	269.83	13.00	304.90	330.00	01/30/2014	310.00	01/30/2014	02/20/2015	4	01/17/2015	456934	12668	145759.66	05/13/2007	20351.00	504.00						
BFGOOD10	275/80R24.5	BFG 275/80R24.5 ST244 14PR		MICHEL		77897	NEW TIRES		0.00	0.00	0	-4	30	0	393.54	13.00	444.70	465.00	07/17/2014	445.00	07/17/2014	06/27/2014	-4	01/17/2015	446978	11721	1116527.79	05/13/2007	142473.94	2799.00	STEER					
BFGOOD14	10R22.5	BFG 10R22.5 ST230 14P		MICHEL			NEW TIRES		0.00	0.00	0	-2	0	0	320.07	13.00	361.67	380.00	01/30/2014	360.00	01/30/2014	09/29/2014	0	01/17/2015	442160	11068	130393.00	05/13/2007	26500.33	399.00						
BFGOOD20	275/80R22.5	BFG 275/80R22.5 TR144 14P		MICHEL		39833	NEW TIRES		0.00	0.00	20	0	16	0	330.24	13.00	373.17	395.00	07/15/2013	360.00	07/12/2013	04/04/2013	20	02/13/2015	456662	9987	417242.00	05/13/2007	43137.65	1186.00	TRAILER					
BFGOOD21	425/65R22.5	BFG 425/65R22.5 ST565 20PR		MICHEL		086699490391	NEW TIRES		0.00	0.00	6	0	7	0	643.73	13.00	727.41	810.00	07/15/2013	760.00	01/21/2013	01/08/2015	8	01/17/2015	458041	12500	119336.68	05/13/2007	15387.09	170.00						
BFGOOD22	385/65R22.5	BFG 385/65R22.5 ST565 18PR		MICHEL		086699648730	NEW TIRES		0.00	0.00	8	0	3	0	554.14	13.00	626.17	760.00	07/15/2013	710.00	10/17/2011	01/08/2015	8	02/11/2015	453536	12500	119486.40	05/13/2007	15273.52	194.00						
BFGOOD23	275/80R24.5	BFG 275/80R24.5 TR144 LRG		MICHEL		27373	NEW TIRES		0.00	0.00	2	-2	0	0	346.34	13.00	391.36	430.00	10/17/2011	395.00	01/21/2013	03/07/2014	2	01/17/2015	446977	11298	97635.00	05/13/2007	12080.14	277.00	TRAILER					
BFGOOD230	275/80R24.5	BFG 275/80R24.5 ST230 14P		MICHEL		71892	NEW TIRES		0.00	0.00	0	0	0	0	383.46	13.00	433.31	475.00	07/15/2013	440.00	01/21/2013	07/18/2013	0	01/17/2015	431443	10346	26700.00	01/01/0001	4002.82	58.00						
BFGOOD245	245/70R17	BFG 245/70R17 TL COMM		ITCO			NEW TIRES		0.00	0.00	10	-4	5	0	146.96	13.00	166.06	199.00	10/10/2013	187.00	10/10/2013	12/10/2014	12	01/17/2015	457160	12403	9222.96	01/01/0001	565.23	56.00						
BFGOOD25	12R22.5	BFG 12R22.5 ST230 16P		MICHEL			NEW TIRES		0.00	0.00	5	0	8	0	487.71	13.00	551.11	600.00	10/17/2011	570.00	10/17/2011	09/12/2013	5	01/17/2015	453249	10599	66294.00	05/13/2007	5745.44	156.00						
BFGOOD265	265/70R17	BFG 265/70R17 COMM ALL SEASON		ITCO			NEW TIRES		0.00	0.00	7	0	4	0	178.86	13.00	202.11	230.00	02/26/2013	220.00	02/26/2013	02/24/2015	2	01/17/2015	458796	12682	23398.00	01/01/0001	2469.48	118.00						
BFGOOD28	315/80R22.5	BFG 315/80R22.5 ST230 20PR		MICHEL		086699554581	NEW TIRES		0.00	0.00	0	0	8	0	572.77	13.00	647.23	700.00	07/15/2013	650.00	01/21/2013	01/08/2015	0	01/23/2015	444525	11691	292039.86	05/13/2007	11430.57	578.00						
BFGOOD29	11R24.5	BFG 11R24.5 ST230 16PR		MICHEL		79184	NEW TIRES		0.00	0.00	3	0	0	0	402.17	13.00	454.45	475.00	04/04/2014	455.00	04/04/2014	01/08/2015	3	01/21/2015	452067	11323	70931.64	05/13/2007	9194.35	183.00	ALL POSITION					
BFGOOD30	11R22.5	BFG 11R22.5  ST230  16PLY		MICHEL		68045	NEW TIRES		0.00	0.00	6	0	8	0	378.02	13.00	427.16	455.00	01/30/2014	430.00	04/04/2014	02/11/2015	6	02/09/2015	454183	12412	329382.84	05/13/2007	33673.78	915.00	086699680457					
BFGOOD32	255/70R22.5	BFG 255/70R22.5 ST230 16P		MICHEL		086699959713	NEW TIRES		0.00	0.00	1	0	29	0	326.99	13.00	369.49	375.00	04/07/2014	355.00	04/07/2014	01/08/2015	1	02/26/2015	458689	12500	315653.00	05/13/2007	49617.30	906.00						
BFGOOD36	225/75R16	BFG 225/75R16 10P COMM T/A A/S		ITCO		086699520531	NEW TIRES		0.00	0.00	69	0	113	0	164.91	13.00	186.35	175.00	02/20/2015	165.00	02/20/2015	09/15/2014	72	01/29/2015	457995	10692	343512.55	05/13/2007	18574.10	2253.00						
BFGOOD37	235/85R16	BFG 235/85R16 10P COMM T/A		ITCO		086699458797	NEW TIRES		0.00	0.00	54	-2	23	0	145.76	13.00	164.70	171.00	10/10/2013	161.00	10/10/2013	12/11/2014	56	01/29/2015	458201	12413	201581.31	05/13/2007	26244.07	1416.00						
BFGOOD38	245/75R16	BFG 245/75R16 10P ALL SEASON		ITCO		086699895899	NEW TIRES		0.00	0.00	8	-2	88	0	148.69	13.00	168.01	183.00	10/10/2013	173.00	10/10/2013	12/10/2014	14	01/29/2015	458623	12403	209958.87	05/13/2007	425.93	1606.00						
BFGOOD41	275/80R24.5	BFG 275/80R24.5 DR444 14P		MICHEL		55617	NEW TIRES		0.00	0.00	0	0	34	0	411.37	13.00	464.84	485.00	04/07/2014	465.00	04/07/2014	07/25/2014	0	01/17/2015	455388	11809	704990.84	05/13/2007	81155.68	1762.00	DRIVE					
BFGOOD42	11R24.5	BFG 11R24.5 DR444 14P		MICHEL		52321	NEW TIRES		0.00	0.00	3	3	16	0	410.19	13.00	463.51	485.00	04/04/2014	465.00	04/04/2014	01/08/2015	21	01/21/2015	458620	12485	333511.88	05/13/2007	41509.54	814.00	DRIVE					
BFGOOD43	11R22.5	BFG 11R22.5 DR444 14P		MICHEL		77081	NEW TIRES		0.00	0.00	9	-6	58	0	390.03	13.00	440.73	470.00	04/04/2014	450.00	04/04/2014	02/13/2015	13	02/09/2015	458716	12638	937186.93	05/13/2007	104306.73	2439.00	DRIVE					
BFGOOD44	275/80R22.5	BFG 275/80R22.5 DR444 LRG		MICHEL		90375	NEW TIRES		0.00	0.00	10	-8	36	0	382.03	13.00	431.69	470.00	04/04/2014	450.00	07/17/2014	12/19/2014	34	02/13/2015	458396	12450	1064066.00	05/13/2007	127022.98	2768.00	DRIVE					
BFGOOD445	445/65R22.5	BFG 445/65R22.5 ST565		MICHEL		42131	NEW TIRES		0.00	0.00	3	0	0	0	682.79	13.00	771.55	880.00	07/15/2013	830.00	10/17/2011	09/17/2014	3	02/16/2015	442766	12042	4070.00	01/01/0001	265.80	5.00						
BFGOOD454	275/80R22.5	BFG 275/80R22.5 DR454 LRG		MICHEL		6374011441	NEW TIRES		0.00	0.00	9	0	0	0	405.23	13.00	457.91	485.00	04/07/2014	460.00	07/31/2014	07/17/2014	9	02/13/2015	455459	11782	3335.00	01/01/0001	498.39	7.00	DRIVE					
BFGOOD52	275/80R22.5	BFG 275/80R22.5 ST230 LRG		MICHEL			NEW TIRES		0.00	0.00	0	0	0	0	352.36	13.00	398.16	440.00	10/17/2011	405.00	01/21/2013	06/13/2014	0	02/13/2015	454888	11662	181991.00	01/01/0001	21163.90	528.00						
BFGOOD55	SOLDOUT	BFG 11R22.5 DR444 LRH		MICHEL		98035			0.00	0.00	0	0	0	0	418.52	13.00	472.93	510.00	03/02/2012	470.00	01/21/2013	12/04/2012	0	01/21/2014	429637	8877	7840.00	01/01/0001	1143.68	16.00						
BFGOOD89	245/75R17	BFG 245/75R17 COMMERCIAL 10PR		ITCO		86693	NEW TIRES		0.00	0.00	8	-4	23	0	168.05	13.00	189.89	200.00	11/07/2014	190.00	11/07/2014	02/24/2015	6	01/29/2015	458788	12681	108729.00	01/01/0001	13801.09	654.00						
BKT	1200-20	BKT 1200-20 20PR FORKLIFT TRAX		TYRES		94007660/7-220	NEW TIRES		0.00	0.00	5	0	0	0	593.65	13.00	670.82	800.00	01/23/2014	700.00	01/23/2014	02/17/2015	5	02/26/2015	458415	12467	91600.00	01/01/0001	19680.54	127.00						
BKT03	33X15.50-16.5	BKT 33X15.50-16.5 HD 12PR		TYRES		7-156	NEW TIRES		0.00	0.00	2	0	0	0	238.53	13.00	269.53	295.00	04/18/2012	275.00	04/18/2012	12/29/2014	6	01/17/2015	456814	12467	54090.00	05/13/2007	11760.02	227.00						
BKT07	1400-25	BKT 1400-25 EM937  20PR		TYRES		7-330	NEW TIRES		0.00	0.00	0	0	0	0	730.44	13.00	825.39	1050.00	12/10/2012	950.00	12/10/2012	03/14/2014	2	01/17/2015	458794	11320	64395.00	05/13/2007	14386.30	69.00						
BKT08	1800-25	BKT 1800-25 PORT KING E4 40PR		TYRES			NEW TIRES		0.00	0.00	16	0	0	0	2151.03	13.00	2430.66	2430.00	02/27/2015	2430.00	02/27/2015	03/14/2014	20	02/04/2015	458882	11320	274670.00	05/13/2007	15573.06	129.00						
BKT10	2100-35	BKT 2100-35 ROCK E4  36PR		TYRES			NEW TIRES		0.00	0.00	1	0	0	0	2356.00	13.00	2662.28	3200.00		2850.00		05/03/2012	1	11/09/2014	420668	1751	21350.00	05/13/2007	2002.00	8.00						
BKT1115	11L15	BKT 11L15 IMPLEMENT 8PR		ITCO		94005864	NEW TIRES		0.00	0.00	2	0	0	0	72.71	13.00	82.16	100.00	06/06/2013	94.00	06/06/2013	01/23/2015	2	02/02/2015	456631	12587	178.00	01/01/0001	32.58	2.00						
BKT1200	SOLDOUT	BKT 1200-24 GRIP IND-3TT 24PR		UNIVERSAL			NEW TIRES		0.00	0.00	0	0	0	0	695.00	13.00	785.35	850.00	10/17/2011	790.00	10/17/2011	12/04/2012	0	04/10/2014	434897	9470	6800.00	01/01/0001	1240.00	8.00						
BKT1228	1200-20	BKT 1200-20 28PR FORKLIFT TRAX		TYRES		7-262	NEW TIRES		0.00	0.00	1	0	0	0	615.56	13.00	695.58	750.00	10/14/2010	700.00	10/14/2010	02/17/2015	1	02/26/2015	458415	12467	750.00	01/01/0001	134.44	1.00						
BKT14	300-15	BKT 300-15 LUG 20PR					NEW TIRES		0.00	0.00	0	0	0	0	158.00	13.00	178.54	350.00	03/04/2013	300.00	03/04/2013	07/23/2014	0	01/17/2015	457224	0	9480.00	05/13/2007	4266.00	33.00						
BKT15.5	31X15.50-15	BKT 31X15.50-15 SKID 10PR		TYRES		7-442	NEW TIRES		0.00	0.00	10	0	0	0	213.04	13.00	240.74	260.00	12/29/2014	245.00	12/29/2014	12/29/2014	12	01/17/2015	458188	12467	37270.00	01/01/0001	8478.74	140.00						
BKT16	31.5X13-16.5	BKT 31.5X13-16.5 SKID 10P		TYRES			NEW TIRES		0.00	0.00	45	0	0	0	187.89	13.00	212.32	190.00	07/18/2013	190.00	07/18/2013	04/18/2012	45	12/29/2014	451383	8320	36836.00	05/13/2007	10194.98	196.00						
BKT1833	SOLDOUT	BKT 1800-33 XL GRIP E3/L3		SOUTH		94015825	NEW TIRES		0.00	0.00	0	0	0	0	2250.00	13.00	2542.50	3150.00	03/16/2011	2700.00	03/16/2011	03/24/2014	-8	07/27/2014	445009	11357	0.00	01/01/0001	-18000.00	8.00						
BKT21	25X13.00-9	NANCO 25x13.00-9		DEALTIRE			NEW TIRES		0.00	0.00	0	0	0	0	167.00	13.00	188.71	80.00	03/04/2013	80.00	03/04/2013	09/28/2011	0	11/09/2014	422823	7275	41550.00	01/01/0001	10451.99	203.00						
BKT23	SOLDOUT	BKT 12-16.5 SKID POWER HD 14PR		TYRES		7-565	NEW TIRES		0.00	0.00	0	0	0	0	235.69	13.00	266.33	300.00	03/13/2013	280.00	03/13/2013	06/30/2014	0	08/19/2014	445206	9898	42530.00	01/01/0001	8165.30	208.00						
BKT242	1400-24	BKT 1400-24 TT 24PR EM937		TYRES		7-524	NEW TIRES		0.00	0.00	26	0	0	0	783.07	13.00	884.86	1075.00	10/14/2010	975.00	10/14/2010	09/05/2014	27	01/17/2015	458605	11320	33975.00	01/01/0001	6273.88	35.00						
BKT27	SOLDOUT	POWERKING 600-9 LUG 10PR		TREADWAYS		DS6125	NEW TIRES		0.00	0.00	0	0	0	0	43.11	13.00	48.71	75.00	03/04/2013	65.00	03/04/2013	07/23/2014	0	01/19/2015	445931	11542	1539.00	01/01/0001	509.56	23.00						
BKT31	SOLDOUT	FORERUNNER 15-19.5 14PR R4		CHINESE			NEW TIRES		0.00	0.00	0	0	0	0	236.00	13.00	266.68	360.00	05/17/2011	330.00	05/17/2011	07/12/2012	0	11/11/2013	423780	8739	25545.00	01/01/0001	6892.38	77.00						
BKT33	1800-25	BKT 1800-25 SMOOTH L5 40PR		TYRES			NEW TIRES		0.00	0.00	6	0	0	0	2946.21	13.00	3329.21	3575.00	01/08/2013	3375.00	01/08/2013	11/07/2013	6	02/04/2015	436421	10845	63950.00	01/01/0001	-20809.92	30.00						
BKT48	1600-25	BKT 1600x25 XL GRIP 28PR E3		TYRES			NEW TIRES		0.00	0.00	0	0	0	0	1366.14	13.00	1543.73	1675.00	03/27/2014	1575.00	03/27/2014	12/15/2014	2	09/21/2014	456886	11320	23850.00	01/01/0001	4059.52	16.00						
BKT49	1400-24	MRF 1400x24 E-3/L-3 24PR		TGI		MRC	NEW TIRES		0.00	0.00	2	0	0	0	800.00	13.00	904.00	1075.00	02/22/2012	975.00	02/22/2012	09/05/2014	2	01/17/2015	448523	10417	109810.00	01/01/0001	23475.36	110.00						
